observed_at,market,model_id,model,price,currency,reference_new_price
2026-09-04T01:12:50Z,DE,iphone-13,iPhone 13,291.00,EUR,729.00
2026-09-04T01:12:50Z,DE,iphone-13-mini,iPhone 13 mini,275.99,EUR,799.00
2026-09-04T01:12:50Z,DE,iphone-14,iPhone 14,313.00,EUR,729.00
2026-09-04T01:12:50Z,DE,iphone-15,iPhone 15,407.00,EUR,849.00
2026-09-04T01:12:50Z,DE,iphone-15-plus,iPhone 15 Plus,478.00,EUR,949.00
2026-09-04T01:12:50Z,DE,iphone-15-pro,iPhone 15 Pro,560.00,EUR,1199.00
2026-09-04T01:12:50Z,DE,iphone-15-pro-max,iPhone 15 Pro Max,669.00,EUR,1449.00
2026-09-04T01:12:50Z,DE,iphone-16,iPhone 16,570.00,EUR,849.00
2026-09-04T01:12:50Z,DE,iphone-16-plus,iPhone 16 Plus,556.00,EUR,949.00
2026-09-04T01:12:50Z,DE,iphone-16-pro,iPhone 16 Pro,648.00,EUR,1199.00
2026-09-04T01:12:50Z,DE,iphone-16-pro-max,iPhone 16 Pro Max,818.00,EUR,1449.00
2026-09-04T01:12:50Z,DE,iphone-16e,iPhone 16e,399.00,EUR,699.00
2026-09-04T01:12:50Z,DE,iphone-17,iPhone 17,699.00,EUR,949.00
2026-09-04T01:12:50Z,DE,iphone-17-pro,iPhone 17 Pro,949.00,EUR,1299.00
2026-09-04T01:12:50Z,DE,iphone-17-pro-max,iPhone 17 Pro Max,1084.00,EUR,1449.00
2026-09-04T13:37:14Z,DE,iphone-13,iPhone 13,276.00,EUR,729.00
2026-09-04T13:37:14Z,DE,iphone-13-mini,iPhone 13 mini,271.00,EUR,799.00
2026-09-04T13:37:14Z,DE,iphone-14,iPhone 14,304.00,EUR,729.00
2026-09-04T13:37:14Z,DE,iphone-15,iPhone 15,402.00,EUR,849.00
2026-09-04T13:37:14Z,DE,iphone-15-plus,iPhone 15 Plus,483.00,EUR,949.00
2026-09-04T13:37:14Z,DE,iphone-15-pro,iPhone 15 Pro,580.00,EUR,1199.00
2026-09-04T13:37:14Z,DE,iphone-15-pro-max,iPhone 15 Pro Max,664.00,EUR,1449.00
2026-09-04T13:37:14Z,DE,iphone-16,iPhone 16,558.00,EUR,849.00
2026-09-04T13:37:14Z,DE,iphone-16-plus,iPhone 16 Plus,549.00,EUR,949.00
2026-09-04T13:37:14Z,DE,iphone-16-pro,iPhone 16 Pro,651.00,EUR,1199.00
2026-09-04T13:37:14Z,DE,iphone-16-pro-max,iPhone 16 Pro Max,818.00,EUR,1449.00
2026-09-04T13:37:14Z,DE,iphone-16e,iPhone 16e,399.00,EUR,699.00
2026-09-04T13:37:14Z,DE,iphone-17,iPhone 17,702.00,EUR,949.00
