observed_at,market,model_id,model,price,currency,reference_new_price
2026-09-03T17:07:32Z,ES,iphone-13,iPhone 13,303.00,EUR,739.00
2026-09-03T17:07:32Z,ES,iphone-13-mini,iPhone 13 mini,285.00,EUR,809.00
2026-09-03T17:07:32Z,ES,iphone-14,iPhone 14,323.00,EUR,739.00
2026-09-03T17:07:32Z,ES,iphone-14-pro,iPhone 14 Pro,516.00,EUR,1449.00
2026-09-03T17:07:32Z,ES,iphone-15,iPhone 15,411.00,EUR,859.00
2026-09-03T17:07:32Z,ES,iphone-15-plus,iPhone 15 Plus,495.00,EUR,959.00
2026-09-03T17:07:32Z,ES,iphone-15-pro,iPhone 15 Pro,580.00,EUR,1219.00
2026-09-03T17:07:32Z,ES,iphone-15-pro-max,iPhone 15 Pro Max,700.00,EUR,1469.00
2026-09-03T17:07:32Z,ES,iphone-16,iPhone 16,552.00,EUR,859.00
2026-09-03T17:07:32Z,ES,iphone-16-plus,iPhone 16 Plus,589.00,EUR,959.00
2026-09-03T17:07:32Z,ES,iphone-16-pro,iPhone 16 Pro,669.00,EUR,1219.00
2026-09-03T17:07:32Z,ES,iphone-16-pro-max,iPhone 16 Pro Max,839.00,EUR,1469.00
2026-09-03T17:07:32Z,ES,iphone-16e,iPhone 16e,421.00,EUR,709.00
2026-09-03T17:07:32Z,ES,iphone-17,iPhone 17,699.00,EUR,959.00
2026-09-03T17:07:32Z,ES,iphone-17-pro,iPhone 17 Pro,961.00,EUR,1319.00
2026-09-04T06:39:22Z,ES,iphone-13,iPhone 13,291.00,EUR,739.00
2026-09-04T06:39:22Z,ES,iphone-13-mini,iPhone 13 mini,277.00,EUR,809.00
2026-09-04T06:39:22Z,ES,iphone-14,iPhone 14,310.00,EUR,739.00
2026-09-04T06:39:22Z,ES,iphone-14-pro,iPhone 14 Pro,500.00,EUR,1599.00
2026-09-04T06:39:22Z,ES,iphone-15,iPhone 15,411.00,EUR,859.00
2026-09-04T06:39:22Z,ES,iphone-15-plus,iPhone 15 Plus,477.00,EUR,959.00
2026-09-04T06:39:22Z,ES,iphone-15-pro,iPhone 15 Pro,569.00,EUR,1219.00
2026-09-04T06:39:22Z,ES,iphone-15-pro-max,iPhone 15 Pro Max,700.00,EUR,1469.00
2026-09-04T06:39:22Z,ES,iphone-16,iPhone 16,556.00,EUR,859.00
2026-09-04T06:39:22Z,ES,iphone-16-plus,iPhone 16 Plus,581.00,EUR,959.00
2026-09-04T06:39:22Z,ES,iphone-16-pro,iPhone 16 Pro,669.00,EUR,1219.00
2026-09-04T06:39:22Z,ES,iphone-16-pro-max,iPhone 16 Pro Max,839.00,EUR,1469.00
2026-09-04T06:39:22Z,ES,iphone-16e,iPhone 16e,420.00,EUR,709.00
2026-09-04T06:39:22Z,ES,iphone-17,iPhone 17,699.00,EUR,959.00
2026-09-04T06:39:22Z,ES,iphone-17-pro,iPhone 17 Pro,962.00,EUR,1319.00
2026-09-04T19:00:28Z,ES,iphone-13,iPhone 13,295.00,EUR,739.00
2026-09-04T19:00:28Z,ES,iphone-13-mini,iPhone 13 mini,268.00,EUR,809.00
2026-09-04T19:00:28Z,ES,iphone-14,iPhone 14,307.00,EUR,739.00
2026-09-04T19:00:28Z,ES,iphone-14-pro,iPhone 14 Pro,446.00,EUR,1319.00
2026-09-04T19:00:28Z,ES,iphone-15,iPhone 15,412.00,EUR,859.00
2026-09-04T19:00:28Z,ES,iphone-15-plus,iPhone 15 Plus,466.00,EUR,959.00
2026-09-04T19:00:28Z,ES,iphone-15-pro,iPhone 15 Pro,569.00,EUR,1219.00
2026-09-04T19:00:28Z,ES,iphone-15-pro-max,iPhone 15 Pro Max,700.00,EUR,1469.00
2026-09-04T19:00:28Z,ES,iphone-16,iPhone 16,549.00,EUR,859.00
2026-09-04T19:00:28Z,ES,iphone-16-plus,iPhone 16 Plus,589.00,EUR,959.00
2026-09-04T19:00:28Z,ES,iphone-16-pro,iPhone 16 Pro,679.00,EUR,1219.00
2026-09-04T19:00:28Z,ES,iphone-16-pro-max,iPhone 16 Pro Max,839.00,EUR,1469.00
2026-09-04T19:00:28Z,ES,iphone-16e,iPhone 16e,429.00,EUR,709.00
2026-09-04T19:00:28Z,ES,iphone-17,iPhone 17,735.00,EUR,959.00
2026-09-04T19:00:28Z,ES,iphone-17-pro,iPhone 17 Pro,962.00,EUR,1319.00
2026-09-05T17:19:55Z,ES,iphone-13,iPhone 13,285.00,EUR,739.00
2026-09-05T17:19:55Z,ES,iphone-13-mini,iPhone 13 mini,255.00,EUR,809.00
2026-09-05T17:19:55Z,ES,iphone-14,iPhone 14,299.00,EUR,739.00
2026-09-05T17:19:55Z,ES,iphone-14-pro,iPhone 14 Pro,480.00,EUR,1599.00
2026-09-05T17:19:55Z,ES,iphone-15,iPhone 15,409.00,EUR,859.00
2026-09-05T17:19:55Z,ES,iphone-15-plus,iPhone 15 Plus,468.00,EUR,959.00
2026-09-05T17:19:55Z,ES,iphone-15-pro,iPhone 15 Pro,568.00,EUR,1219.00
2026-09-05T17:19:55Z,ES,iphone-15-pro-max,iPhone 15 Pro Max,700.00,EUR,1469.00
2026-09-05T17:19:55Z,ES,iphone-16,iPhone 16,553.00,EUR,859.00
2026-09-05T17:19:55Z,ES,iphone-16-plus,iPhone 16 Plus,584.00,EUR,959.00
2026-09-05T17:19:55Z,ES,iphone-16-pro,iPhone 16 Pro,669.00,EUR,1219.00
2026-09-05T17:19:55Z,ES,iphone-16-pro-max,iPhone 16 Pro Max,837.00,EUR,1469.00
2026-09-05T17:19:55Z,ES,iphone-16e,iPhone 16e,439.00,EUR,709.00
2026-09-05T17:19:55Z,ES,iphone-17,iPhone 17,699.99,EUR,959.00
2026-09-05T17:19:55Z,ES,iphone-17-pro,iPhone 17 Pro,960.00,EUR,1319.00
2026-09-06T05:58:30Z,ES,iphone-13,iPhone 13,300.00,EUR,739.00
2026-09-06T05:58:30Z,ES,iphone-13-mini,iPhone 13 mini,266.00,EUR,809.00
2026-09-06T05:58:30Z,ES,iphone-14,iPhone 14,323.00,EUR,869.00
2026-09-06T05:58:30Z,ES,iphone-14-pro,iPhone 14 Pro,500.00,EUR,1599.00
2026-09-06T05:58:30Z,ES,iphone-15,iPhone 15,399.00,EUR,859.00
2026-09-06T05:58:30Z,ES,iphone-15-plus,iPhone 15 Plus,511.00,EUR,959.00
2026-09-06T05:58:30Z,ES,iphone-15-pro,iPhone 15 Pro,569.00,EUR,1219.00
2026-09-06T05:58:30Z,ES,iphone-15-pro-max,iPhone 15 Pro Max,700.00,EUR,1469.00
2026-09-06T05:58:30Z,ES,iphone-16,iPhone 16,562.00,EUR,859.00
2026-09-06T05:58:30Z,ES,iphone-16-plus,iPhone 16 Plus,585.00,EUR,959.00
2026-09-06T05:58:30Z,ES,iphone-16-pro,iPhone 16 Pro,669.00,EUR,1219.00
2026-09-06T05:58:30Z,ES,iphone-16-pro-max,iPhone 16 Pro Max,829.00,EUR,1469.00
2026-09-06T05:58:30Z,ES,iphone-16e,iPhone 16e,439.00,EUR,709.00
2026-09-06T05:58:30Z,ES,iphone-17,iPhone 17,699.99,EUR,959.00
2026-09-06T05:58:30Z,ES,iphone-17-pro,iPhone 17 Pro,976.00,EUR,1319.00
2026-09-06T18:19:49Z,ES,iphone-13,iPhone 13,296.00,EUR,739.00
2026-09-06T18:19:49Z,ES,iphone-13-mini,iPhone 13 mini,257.00,EUR,809.00
2026-09-06T18:19:49Z,ES,iphone-14,iPhone 14,310.00,EUR,739.00
2026-09-06T18:19:49Z,ES,iphone-14-pro,iPhone 14 Pro,480.00,EUR,1549.00
2026-09-06T18:19:49Z,ES,iphone-15,iPhone 15,423.00,EUR,859.00
2026-09-06T18:19:49Z,ES,iphone-15-plus,iPhone 15 Plus,496.00,EUR,959.00
2026-09-06T18:19:49Z,ES,iphone-15-pro,iPhone 15 Pro,569.00,EUR,1219.00
2026-09-06T18:19:49Z,ES,iphone-15-pro-max,iPhone 15 Pro Max,700.00,EUR,1469.00
2026-09-06T18:19:49Z,ES,iphone-16,iPhone 16,586.00,EUR,859.00
2026-09-06T18:19:49Z,ES,iphone-16-plus,iPhone 16 Plus,589.00,EUR,959.00
2026-09-06T18:19:49Z,ES,iphone-16-pro,iPhone 16 Pro,680.00,EUR,1219.00
2026-09-06T18:19:49Z,ES,iphone-16-pro-max,iPhone 16 Pro Max,852.00,EUR,1469.00
2026-09-06T18:19:49Z,ES,iphone-16e,iPhone 16e,440.00,EUR,709.00
2026-09-06T18:19:49Z,ES,iphone-17,iPhone 17,699.99,EUR,959.00
2026-09-06T18:19:49Z,ES,iphone-17-pro,iPhone 17 Pro,979.00,EUR,1319.00
2026-09-07T18:10:49Z,ES,iphone-13,iPhone 13,304.00,EUR,739.00
2026-09-07T18:10:49Z,ES,iphone-13-mini,iPhone 13 mini,272.06,EUR,809.00
