observed_at,market,model_id,model,price,currency,reference_new_price
2026-09-01T04:14:52Z,US,iphone-13,iPhone 13,234.00,USD,629.00
2026-09-01T04:14:52Z,US,iphone-14,iPhone 14,270.00,USD,629.00
2026-09-01T04:14:52Z,US,iphone-14-plus,iPhone 14 Plus,319.00,USD,729.00
2026-09-01T04:14:52Z,US,iphone-15,iPhone 15,384.00,USD,729.00
2026-09-01T04:14:52Z,US,iphone-15-plus,iPhone 15 Plus,400.00,USD,829.00
2026-09-01T04:14:52Z,US,iphone-15-pro,iPhone 15 Pro,529.60,USD,999.00
2026-09-01T04:14:52Z,US,iphone-15-pro-max,iPhone 15 Pro Max,630.99,USD,1399.00
2026-09-01T04:14:52Z,US,iphone-16,iPhone 16,553.00,USD,729.00
2026-09-01T04:14:52Z,US,iphone-16-plus,iPhone 16 Plus,547.00,USD,829.00
2026-09-01T04:14:52Z,US,iphone-16-pro,iPhone 16 Pro,668.00,USD,999.00
2026-09-01T04:14:52Z,US,iphone-16-pro-max,iPhone 16 Pro Max,803.00,USD,1199.00
2026-09-01T04:14:52Z,US,iphone-16e,iPhone 16e,373.00,USD,599.00
2026-09-01T04:14:52Z,US,iphone-17,iPhone 17,754.27,USD,829.00
2026-09-01T04:14:52Z,US,iphone-17-pro,iPhone 17 Pro,967.00,USD,1099.00
2026-09-01T04:14:52Z,US,iphone-17-pro-max,iPhone 17 Pro Max,1152.00,USD,1199.00
2026-09-01T16:12:36Z,US,iphone-13,iPhone 13,233.00,USD,629.00
2026-09-01T16:12:36Z,US,iphone-14,iPhone 14,262.00,USD,629.00
2026-09-01T16:12:36Z,US,iphone-14-plus,iPhone 14 Plus,312.00,USD,729.00
2026-09-01T16:12:36Z,US,iphone-15,iPhone 15,384.00,USD,729.00
2026-09-01T16:12:36Z,US,iphone-15-plus,iPhone 15 Plus,416.00,USD,829.00
2026-09-01T16:12:36Z,US,iphone-15-pro,iPhone 15 Pro,489.00,USD,999.00
2026-09-01T16:12:36Z,US,iphone-15-pro-max,iPhone 15 Pro Max,647.00,USD,1199.00
2026-09-01T16:12:36Z,US,iphone-16,iPhone 16,553.00,USD,729.00
2026-09-01T16:12:36Z,US,iphone-16-plus,iPhone 16 Plus,551.00,USD,829.00
2026-09-01T16:12:36Z,US,iphone-16-pro,iPhone 16 Pro,667.00,USD,999.00
2026-09-01T16:12:36Z,US,iphone-16-pro-max,iPhone 16 Pro Max,812.00,USD,1199.00
2026-09-01T16:12:36Z,US,iphone-16e,iPhone 16e,373.00,USD,599.00
2026-09-01T16:12:36Z,US,iphone-17,iPhone 17,758.83,USD,829.00
2026-09-01T16:12:36Z,US,iphone-17-pro,iPhone 17 Pro,967.00,USD,1099.00
2026-09-01T16:12:36Z,US,iphone-17-pro-max,iPhone 17 Pro Max,1136.00,USD,1199.00
2026-09-02T03:45:46Z,US,iphone-13,iPhone 13,226.00,USD,629.00
2026-09-02T03:45:46Z,US,iphone-14,iPhone 14,263.00,USD,629.00
2026-09-02T03:45:46Z,US,iphone-14-plus,iPhone 14 Plus,308.00,USD,729.00
2026-09-02T03:45:46Z,US,iphone-15,iPhone 15,391.00,USD,729.00
2026-09-02T03:45:46Z,US,iphone-15-plus,iPhone 15 Plus,433.00,USD,829.00
2026-09-02T03:45:46Z,US,iphone-15-pro,iPhone 15 Pro,539.00,USD,999.00
2026-09-02T03:45:46Z,US,iphone-15-pro-max,iPhone 15 Pro Max,645.00,USD,1199.00
2026-09-02T03:45:46Z,US,iphone-16,iPhone 16,549.99,USD,729.00
2026-09-02T03:45:46Z,US,iphone-16-plus,iPhone 16 Plus,527.00,USD,829.00
2026-09-02T03:45:46Z,US,iphone-16-pro,iPhone 16 Pro,670.00,USD,999.00
2026-09-02T03:45:46Z,US,iphone-16-pro-max,iPhone 16 Pro Max,796.00,USD,1199.00
2026-09-02T03:45:46Z,US,iphone-16e,iPhone 16e,367.00,USD,599.00
2026-09-02T03:45:46Z,US,iphone-17,iPhone 17,725.00,USD,829.00
2026-09-02T03:45:46Z,US,iphone-17-pro,iPhone 17 Pro,987.00,USD,1099.00
2026-09-02T03:45:46Z,US,iphone-17-pro-max,iPhone 17 Pro Max,1156.00,USD,1199.00
2026-09-03T02:34:52Z,US,iphone-13,iPhone 13,226.00,USD,629.00
2026-09-03T02:34:52Z,US,iphone-14,iPhone 14,263.00,USD,629.00
2026-09-03T02:34:52Z,US,iphone-14-plus,iPhone 14 Plus,312.00,USD,729.00
2026-09-03T02:34:52Z,US,iphone-15,iPhone 15,391.00,USD,729.00
2026-09-03T02:34:52Z,US,iphone-15-plus,iPhone 15 Plus,433.00,USD,829.00
2026-09-03T02:34:52Z,US,iphone-15-pro,iPhone 15 Pro,519.00,USD,999.00
2026-09-03T02:34:52Z,US,iphone-15-pro-max,iPhone 15 Pro Max,647.05,USD,1199.00
2026-09-03T02:34:52Z,US,iphone-16,iPhone 16,560.00,USD,729.00
2026-09-03T02:34:52Z,US,iphone-16-plus,iPhone 16 Plus,579.00,USD,829.00
2026-09-03T02:34:52Z,US,iphone-16-pro,iPhone 16 Pro,670.00,USD,999.00
2026-09-03T02:34:52Z,US,iphone-16-pro-max,iPhone 16 Pro Max,808.00,USD,1199.00
2026-09-03T02:34:52Z,US,iphone-16e,iPhone 16e,365.00,USD,599.00
2026-09-03T02:34:52Z,US,iphone-17,iPhone 17,746.16,USD,829.00
2026-09-03T02:34:52Z,US,iphone-17-pro,iPhone 17 Pro,964.00,USD,1099.00
2026-09-03T02:34:52Z,US,iphone-17-pro-max,iPhone 17 Pro Max,1117.00,USD,1199.00
2026-09-03T11:06:26Z,US,iphone-13,iPhone 13,226.00,USD,629.00
2026-09-03T11:06:26Z,US,iphone-14,iPhone 14,263.00,USD,629.00
2026-09-03T11:06:26Z,US,iphone-14-plus,iPhone 14 Plus,312.00,USD,729.00
2026-09-03T11:06:26Z,US,iphone-15,iPhone 15,391.00,USD,729.00
2026-09-03T11:06:26Z,US,iphone-15-plus,iPhone 15 Plus,423.00,USD,829.00
2026-09-03T11:06:26Z,US,iphone-15-pro,iPhone 15 Pro,519.00,USD,999.00
2026-09-03T11:06:26Z,US,iphone-15-pro-max,iPhone 15 Pro Max,615.00,USD,1199.00
2026-09-03T11:06:26Z,US,iphone-16,iPhone 16,560.00,USD,729.00
2026-09-03T11:06:26Z,US,iphone-16-plus,iPhone 16 Plus,579.00,USD,829.00
2026-09-03T11:06:26Z,US,iphone-16-pro,iPhone 16 Pro,670.00,USD,999.00
2026-09-03T11:06:26Z,US,iphone-16-pro-max,iPhone 16 Pro Max,789.00,USD,1199.00
2026-09-03T11:06:26Z,US,iphone-16e,iPhone 16e,374.00,USD,599.00
