observed_at,market,model_id,model,price,currency,reference_new_price
2026-09-07T13:33:16Z,DE,iphone-13,iPhone 13,269.99,EUR,729.00
2026-09-07T13:33:16Z,DE,iphone-13-mini,iPhone 13 mini,255.00,EUR,799.00
2026-09-07T13:33:16Z,DE,iphone-14,iPhone 14,288.00,EUR,729.00
2026-08-30T23:52:08Z,DE,iphone-14-pro,iPhone 14 Pro,483.99,EUR,1299.00
2026-09-07T13:33:16Z,DE,iphone-15,iPhone 15,398.00,EUR,849.00
2026-09-07T13:33:16Z,DE,iphone-15-plus,iPhone 15 Plus,420.00,EUR,949.00
2026-09-07T13:33:16Z,DE,iphone-15-pro,iPhone 15 Pro,574.99,EUR,1199.00
2026-09-07T13:33:16Z,DE,iphone-15-pro-max,iPhone 15 Pro Max,650.00,EUR,1449.00
2026-09-07T13:33:16Z,DE,iphone-16,iPhone 16,560.00,EUR,849.00
2026-09-07T13:33:16Z,DE,iphone-16-plus,iPhone 16 Plus,588.00,EUR,949.00
2026-09-07T13:33:16Z,DE,iphone-16-pro,iPhone 16 Pro,648.00,EUR,1199.00
2026-09-07T13:33:16Z,DE,iphone-16-pro-max,iPhone 16 Pro Max,806.00,EUR,1449.00
2026-09-07T13:33:16Z,DE,iphone-16e,iPhone 16e,426.00,EUR,699.00
2026-09-07T13:33:16Z,DE,iphone-17,iPhone 17,699.00,EUR,949.00
2026-09-07T13:33:16Z,DE,iphone-17-pro,iPhone 17 Pro,943.00,EUR,1299.00
2026-09-07T13:33:16Z,DE,iphone-17-pro-max,iPhone 17 Pro Max,1079.00,EUR,1449.00
2026-09-07T18:10:49Z,ES,iphone-13,iPhone 13,304.00,EUR,739.00
2026-09-07T18:10:49Z,ES,iphone-13-mini,iPhone 13 mini,272.06,EUR,809.00
2026-09-07T18:10:49Z,ES,iphone-14,iPhone 14,322.00,EUR,739.00
2026-09-07T18:10:49Z,ES,iphone-14-pro,iPhone 14 Pro,498.00,EUR,1319.00
2026-09-07T18:10:49Z,ES,iphone-15,iPhone 15,420.00,EUR,859.00
2026-09-07T18:10:49Z,ES,iphone-15-plus,iPhone 15 Plus,470.00,EUR,959.00
2026-09-07T18:10:49Z,ES,iphone-15-pro,iPhone 15 Pro,569.00,EUR,1219.00
2026-09-07T18:10:49Z,ES,iphone-15-pro-max,iPhone 15 Pro Max,699.00,EUR,1469.00
2026-09-07T18:10:49Z,ES,iphone-16,iPhone 16,559.00,EUR,859.00
2026-09-07T18:10:49Z,ES,iphone-16-plus,iPhone 16 Plus,589.00,EUR,959.00
2026-09-07T18:10:49Z,ES,iphone-16-pro,iPhone 16 Pro,661.00,EUR,1219.00
2026-09-07T18:10:49Z,ES,iphone-16-pro-max,iPhone 16 Pro Max,770.00,EUR,1469.00
2026-09-07T18:10:49Z,ES,iphone-16e,iPhone 16e,436.00,EUR,709.00
2026-09-07T18:10:49Z,ES,iphone-17,iPhone 17,729.00,EUR,959.00
2026-09-07T18:10:49Z,ES,iphone-17-pro,iPhone 17 Pro,976.00,EUR,1319.00
2026-09-07T15:23:20Z,FR,iphone-13,iPhone 13,280.00,EUR,749.00
2026-09-07T15:23:20Z,FR,iphone-13-mini,iPhone 13 mini,247.00,EUR,809.00
2026-09-07T15:23:20Z,FR,iphone-14,iPhone 14,303.00,EUR,749.00
2026-09-07T15:23:20Z,FR,iphone-14-pro,iPhone 14 Pro,409.26,EUR,1329.00
2026-09-07T15:23:20Z,FR,iphone-15,iPhone 15,406.00,EUR,869.00
2026-09-07T15:23:20Z,FR,iphone-15-plus,iPhone 15 Plus,450.00,EUR,969.00
2026-09-07T15:23:20Z,FR,iphone-15-pro,iPhone 15 Pro,576.00,EUR,1229.00
2026-09-07T15:23:20Z,FR,iphone-15-pro-max,iPhone 15 Pro Max,690.00,EUR,1479.00
2026-09-07T15:23:20Z,FR,iphone-16,iPhone 16,562.00,EUR,869.00
2026-09-07T15:23:20Z,FR,iphone-16-plus,iPhone 16 Plus,569.00,EUR,969.00
2026-09-07T15:23:20Z,FR,iphone-16-pro,iPhone 16 Pro,656.00,EUR,1229.00
2026-09-07T15:23:20Z,FR,iphone-16-pro-max,iPhone 16 Pro Max,763.00,EUR,1479.00
2026-09-07T15:23:20Z,FR,iphone-16e,iPhone 16e,424.00,EUR,719.00
2026-09-07T15:23:20Z,FR,iphone-17,iPhone 17,719.00,EUR,969.00
